Tribunal;Magistrado;Mês/Ano Ref.;Subsídio;Direitos Pessoais ;Indenizações ;Direitos Eventuais ;Total de Rendimentos ;Previdência Pública ;Imposto de Renda;Descontos Diversos ;Retenção por Teto Constitucional ;Total de Descontos ;Rendimento Líquido ;Remuneração do órgão de origem ;Diárias 
TRF1;ALEXANDRE MACHADO VASCONCELOS;12/2020;33.689,11;0,00;910,08;139.801,77;174.400,96;-5.497,99;-34.478,38;-22.806,27;-5.625,39;-68.408,03;105.992,93;0,00;0,00
TRF1;ALEXANDRE VIDIGAL DE OLIVEIRA;12/2020;26.398,78;0,00;0,00;158.127,19;184.525,97;-3.399,76;-38.170,83;-8.814,29;0,00;-50.384,88;134.141,09;0,00;0,00
TRF1;ALOISIO PALMEIRA LIMA;12/2020;35.462,22;0,00;0,00;187.153,51;222.615,73;-5.121,81;-51.810,74;-2.309,76;0,00;-59.242,31;163.373,42;0,00;0,00
TRF1;ALVARO SIMOES MAESTRINI;12/2020;32.004,65;0,00;2.274,70;5.334,11;39.613,46;-713,08;-8.444,34;-2.639,87;0,00;-11.797,29;27.816,17;0,00;0,00
TRF1;ALYSSON MAIA FONTENELE;12/2020;33.689,11;0,00;1.555,08;11.229,60;46.473,79;-5.497,99;-8.215,80;-6.128,20;-5.625,39;-25.467,38;21.006,41;0,00;0,00
TRF1;AMAURY SILVEIRA MARTINS;12/2020;10.973,02;0,00;0,00;0,00;10.973,02;-716,94;-1.141,68;-7.199,20;0,00;-9.057,82;1.915,20;0,00;0,00
TRF1;ANA CAROLINA CAMPOS AGUIAR;12/2020;33.689,11;0,00;2.349,32;5.989,17;42.027,60;-5.497,99;-8.424,36;-1.226,90;-384,96;-15.534,21;26.493,39;0,00;0,00
TRF1;ANA CAROLINA DE SA CAVALCANTI;12/2020;32.004,65;0,00;910,08;8.890,25;41.804,98;-5.177,94;-8.512,37;-705,50;-1.601,58;-15.997,39;25.807,59;0,00;0,00
TRF1;ANA CAROLINA DIAS LIMA FERNANDES;12/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.320,08;-1.760,47;-5.625,49;-21.204,03;24.624,86;0,00;0,00
TRF1;ANA CLAUDIA NEVES MACHADO;12/2020;32.004,65;0,00;2.274,70;0,00;34.279,35;-5.177,94;-6.455,85;0,00;0,00;-11.633,79;22.645,56;0,00;0,00
TRF1;ANA LYA FERRAZ DA GAMA FERREIRA;12/2020;33.689,11;0,00;910,08;11.229,70;45.828,89;-5.497,99;-8.424,36;-275,05;-5.625,49;-19.822,89;26.006,00;0,00;3.150,00
TRF1;ANA PAULA LEMOS AGUIAR;12/2020;0,00;0,00;0,00;8.552,67;8.552,67;0,00;-2.004,24;0,00;0,00;-2.004,24;6.548,43;0,00;0,00
TRF1;ANA PAULA RODRIGUES MATHIAS;12/2020;33.689,11;0,00;910,08;2.620,26;37.219,45;-5.497,99;-7.603,77;-330,00;0,00;-13.431,76;23.787,69;0,00;0,00
TRF1;ANA PAULA SERIZAWA SILVA PODEDWORNY;12/2020;33.689,11;0,00;910,08;6.363,50;40.962,69;-5.497,99;-8.424,36;-1.137,57;-759,29;-15.819,21;25.143,48;0,00;0,00
TRF1;ANAMARIA REYS RESENDE;12/2020;0,00;0,00;0,00;174.451,42;174.451,42;-5.248,32;-34.359,81;0,00;0,00;-39.608,13;134.843,29;0,00;0,00
TRF1;ANDERSON SANTOS DA SILVA;12/2020;32.004,65;0,00;1.125,08;10.668,30;43.798,03;-5.177,94;-8.512,37;-224,03;-3.379,63;-17.293,97;26.504,06;0,00;0,00
TRF1;ANDRE COUTINHO DA FONSECA FERNANDES GOMES;12/2020;32.004,65;0,00;910,08;7.374,17;40.288,90;-713,08;-9.158,22;-2.917,76;0,00;-12.789,06;27.499,84;0,00;0,00
TRF1;ANDRE DIAS IRIGON;12/2020;33.689,11;0,00;2.349,32;7.673,63;43.712,06;-5.497,99;-8.372,22;-275,05;-2.069,42;-16.214,68;27.497,38;0,00;0,00
TRF1;ANDRE GONCALVES DE OLIVEIRA SALCE;12/2020;33.689,11;0,00;910,08;148.524,79;183.123,98;-9.973,95;-36.910,43;-11.425,88;0,00;-58.310,26;124.813,72;0,00;0,00
TRF1;ANDRE JACKSON DE HOLANDA MAURICIO JUNIOR;12/2020;32.004,65;0,00;910,08;4.735,20;37.649,93;-713,08;-8.261,66;-6.705,50;0,00;-15.680,24;21.969,69;0,00;0,00
